t,exporter,importer,value,quantity,exp_mis,imp_mis,quality
1996,BEL,MAR,28.715,29.976,0,0.66,bad
1996,BEL,MRT,3.052,0.546,0,0.82,bad
1996,BEL,MYS,106.56868837748314,272.1967332632112,0,0.55,bad
1996,BEL,PAK,216.945,877.331,0,0.86,bad
1996,BEL,PER,3.48171693787018,22.308,0,0.25,bad
1996,BEL,PHL,20.2931997206896,92.511,0,0.81,bad
1996,BEL,POL,34.381,38.378,0,0.12,bad
1996,BEL,SAU,160.05213714784952,69.0155899972006,0,0.08,bad
1996,BEL,SEN,2.67611552489887,0.449,0,0.82,bad
1996,BEL,UKR,33.09,25,0,0.49,bad
1996,BEL,ZAF,46.595697976909,126.611693772078,0,0.54,bad
1996,BGR,ALB,19.4282612036747,60,0.31,0.45,bad
1996,BHR,IND,12.1219939588476,50,0.1,0.85,bad
1996,BRA,CHN,329.335,902.562,0.09,0.74,bad
1996,BRA,MYS,7.12496769320517,1,0.09,0.55,bad
1996,BRB,SLV,10.8327898902258,20.308,0.04,0.33,bad
1996,CAN,BRA,14.4761338476846,7.77786785029858,0,0.09,bad
1996,CAN,CHL,136.969,201.617,0,0.07,bad
1996,CAN,CHN,197.3229293668957,314.7614535072723,0,0.74,bad
1996,CAN,COL,21.007,24.229000000000003,0,0.21,bad
1996,CAN,GTM,22.331,19.75,0,0.36,bad
1996,CAN,IND,59.96227454977564,67.1158306489707,0,0.85,bad
1996,CAN,LBN,2.277,20.699,0,0.34,bad
1996,CAN,LBY,101.393,153.687,0,0.23,bad
1996,CAN,MEX,94.58027342255987,256.39,0,0.12,bad
1996,CAN,MYS,406.409449379794,1207.613,0,0.55,bad
1996,CAN,NGA,41.154,179.695,0,0.81,bad
1996,CAN,PAN,28.46,40.746,0,0.18,bad
1996,CAN,PER,47.157,33.101,0,0.25,bad
1996,CAN,POL,7.044,39.304,0,0.12,bad
1996,CAN,SAU,1345.2251377074172,162.2362967422566,0,0.08,bad
1996,CAN,UKR,3.30503116800568,0.07,0,0.49,bad
1996,CAN,VEN,36.454,17.164,0,0.05,bad
1996,CHL,PER,8.46694725868605,19.936999999999998,0.07,0.25,bad
1996,CHN,IDN,28.354,35.371,0.74,0.81,bad
1996,CHN,IND,45.8640685376523,45.1051436209786,0.74,0.85,bad
1996,CHN,MDG,1.52276087771172,0.773,0.74,0.84,bad
1996,CHN,NGA,2.27997824775482,11.9964719740855,0.74,0.81,bad
1996,CHN,PHL,260.7532971535489,398.565,0.74,0.81,bad
1996,CHN,PRK,7.199,4,0.74,0.88,bad
1996,CHN,VNM,7.709,8,0.74,0.86,bad
1996,CRI,ECU,34.783,4030.625,0.16,0.3,bad
1996,CRI,GTM,5.15884332168631,14.062,0.16,0.36,bad
1996,CRI,HND,14.70753073879435,4.770919501069964,0.16,0.4,bad
1996,CRI,NIC,24.63881823441751,1017.754715694901,0.16,0.45,bad
1996,CRI,SLV,15.62390229840586,62.460290726333795,0.16,0.33,bad
