reporter,partner,year,classification,commodity_code,commodity,trade_flow_code,trade_flow,qty,qty_unit,trade_value_us
Belgium,Portugal,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,331296,Weight in kilograms,221621
Belgium,Portugal,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,3968134,Weight in kilograms,1120375
Belgium,Qatar,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,12000,Weight in kilograms,14693
Belgium,Qatar,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,16010,Weight in kilograms,3835
Belgium,Romania,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,911352,Weight in kilograms,340690
Belgium,Romania,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,434219,Weight in kilograms,121191
Belgium,Russian Federation,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,128715,Weight in kilograms,31965
Belgium,Saudi Arabia,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,26000,Weight in kilograms,6152
Belgium,Saudi Arabia,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,654640,Weight in kilograms,228103
Belgium,India,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,97651,Weight in kilograms,68049
Belgium,India,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,20666890,Weight in kilograms,5942606
Belgium,Singapore,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,109819,Weight in kilograms,74495
Belgium,Singapore,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,403260,Weight in kilograms,93773
Belgium,Slovakia,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,65286,Weight in kilograms,17613
Belgium,Slovakia,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,349787,Weight in kilograms,95058
Belgium,Viet Nam,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,50320,Weight in kilograms,20052
Belgium,Viet Nam,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,27582360,Weight in kilograms,6999596
Belgium,Slovenia,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,169173,Weight in kilograms,99936
Belgium,Slovenia,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,10651705,Weight in kilograms,2564900
Belgium,South Africa,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,135340,Weight in kilograms,203065
Belgium,South Africa,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,13080,Weight in kilograms,3632
Belgium,Spain,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,5602639,Weight in kilograms,1906621
Belgium,Spain,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,1973459,Weight in kilograms,1173019
Belgium,Sweden,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,519232,Weight in kilograms,196175
Belgium,Sweden,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,102897,Weight in kilograms,82447
Belgium,Switzerland,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,657415,Weight in kilograms,163329
Belgium,Switzerland,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,2354,Weight in kilograms,12965
Belgium,Thailand,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,358345,Weight in kilograms,115761
